id;name;host_id;host_name;distrito;barrio;room_type;price;minimum_nights;availability_365;superficie_km2;densidad_por_km2
1,02181E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 5 baths;52494700;Luca;Puente de Vallecas;Entrevías;Private room;15;1;231;595;563697
1,02181E+18;Rental unit in Madrid · ?5.0 · 1 bedroom · 1 bed · 1 bath;55127133;Cristina;Centro;Embajadores;Entire home/apt;67;1;233;103;4334563
1,02304E+18;Rental unit in Madrid · ?New · 2 bedrooms · 4 beds · 1 bath;466052734;Estela;Puente de Vallecas;San Diego;Entire home/apt;65;1;330;106;3702736
1,02306E+18;Rental unit in Madrid · ?New · 2 bedrooms · 3 beds · 1 bath;533468859;My House Madrid;Chamberí;Trafalgar;Entire home/apt;200;2;359;62;3956129
1,02309E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;511649938;Exyca;Chamartín;Castilla;Entire home/apt;80;1;320;213;778967
1,02311E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 private bath;77749113;Nahid;Centro;Embajadores;Private room;90;2;26;103;4334563
1,02313E+18;Rental unit in Madrid · ?5.0 · 2 bedrooms · 2 beds · 1 bath;546148116;Juan Miguel;Salamanca;Goya;Entire home/apt;81;2;238;77;3801688
1,02188E+18;Rental unit in Madrid · ?5.0 · 2 bedrooms · 2 beds · 1 bath;43848867;Pablo;Ciudad Lineal;Ventas;Entire home/apt;196;3;0;322;1470093
1,0219E+18;Rental unit in Madrid · ?New · 2 bedrooms · 2 beds · 2 baths;463738240;Uchi Luxury Rent;Chamberí;Trafalgar;Entire home/apt;140;3;171;62;3956129
1,02315E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 shared bath;132964998;María;Centro;Embajadores;Private room;57;2;3;103;4334563
1,02321E+18;Rental unit in Madrid · ?5.0 · 1 bedroom · 1 bed · 2 baths;413703956;Vinicius;Retiro;Niño Jesús;Private room;43;3;83;64;2370625
1,0222E+18;Rental unit in Madrid · ?New · 3 bedrooms · 3 beds · 2 baths;28060411;Roberto;Ciudad Lineal;Quintana;Entire home/apt;127;4;267;71;3405634
1,02322E+18;Rental unit in Madrid · ?5.0 · Studio · 2 beds · 1 bath;546174027;Gonzalo;Centro;Embajadores;Entire home/apt;63;2;170;103;4334563
1,02323E+18;Home in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;546177175;Rosa María;Arganzuela;Delicias;Entire home/apt;84;2;175;107;2548505
1,02224E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 shared bath;509598091;???????;Usera;Orcasur;Shared room;50;1;269;142;939155
1,02229E+18;Home in Madrid · ?New · 2 bedrooms · 3 beds · 1.5 baths;408132653;Vip Stay;Centro;Embajadores;Entire home/apt;87;1;188;103;4334563
1,02324E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;272221740;Holmes;Latina;Campamento;Private room;52;1;269;916;205022
1,0223E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;358791833;David Stiven;Latina;Cuatro Vientos;Entire home/apt;86;2;252;544;100313
1,02327E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;546187890;Maria;Centro;Embajadores;Entire home/apt;61;1;261;103;4334563
1,02327E+18;Rental unit in Madrid · ?New · 1 bedroom · 1 bed · 1 bath;476102244;Maria Magdalena;Arganzuela;Palos de Moguer;Private room;33;1;167;65;3937231
1,02328E+18;Rental unit in Madrid · ?New · Studio · 1 bed · 1 bath;546187890;Maria;Centro;Embajadores;Entire home/apt;54;1;255;103;4334563
1,02366E+18;Rental unit in Madrid · ?New · 3 bedrooms · 4 beds · 2 baths;377605855;MIT House;Salamanca;Guindalera;Entire home/apt;206;1;354;158;2574051
